_id,Year/Année,Name/Nom,Frequency/Fréquence
744,1918,RAOUL,8
745,1918,RAY,34
746,1918,RAYMOND,187
747,1918,REGINALD,96
748,1918,REINO,6
749,1918,RENE,27
750,1918,REUBEN,18
751,1918,RICHARD,207
752,1918,ROBERT,1006
753,1918,ROCCO,5
754,1918,RODERICK,17
755,1918,RODNEY,5
756,1918,ROGER,20
757,1918,ROLAND,41
758,1918,ROLLAND,8
759,1918,ROMEO,15
760,1918,RONALD,115
761,1918,ROSCOE,6
762,1918,ROSS,116
763,1918,ROY,268
764,1918,ROYAL,7
765,1918,RUDOLPH,8
766,1918,RUPERT,7
767,1918,RUSSEL,40
768,1918,RUSSELL,181
769,1918,SALVATORE,7
770,1918,SAM,13
771,1918,SAMUEL,151
772,1918,SANFORD,5
773,1918,SAUL,5
774,1918,SEYMOUR,5
775,1918,SHIRLEY,5
776,1918,SIDNEY,67
777,1918,SIMON,17
778,1918,SOLOMON,13
779,1918,STANLEY,277
780,1918,STEPHAN,5
781,1918,STEPHEN,42
782,1918,STEVE,22
783,1918,STEVEN,10
784,1918,STEWART,56
785,1918,STUART,36
786,1918,SYDNEY,42
787,1918,SYLVESTER,9
788,1918,TAUNO,7
789,1918,TEDDY,8
790,1918,TERENCE,7
791,1918,THEODORE,29
792,1918,THOMAS,629
793,1918,TIMOTHY,5
794,1918,TOIVO,5
795,1918,TOM,5
796,1918,TOMAS,5
797,1918,TONY,12
798,1918,UMBERTO,6
799,1918,VERDUN,11
800,1918,VERNON,78
801,1918,VICTOR,210
802,1918,VICTORY,5
803,1918,VINCENT,73
804,1918,VINCENZO,10
805,1918,WALLACE,48
806,1918,WALTER,356
807,1918,WARD,7
808,1918,WARREN,17
809,1918,WASYL,6
810,1918,WELDON,7
811,1918,WELLINGTON,6
812,1918,WENDELL,5
813,1918,WESLEY,46
814,1918,WILBER,5
815,1918,WILBERT,74
816,1918,WILBUR,12
817,1918,WILFORD,8
818,1918,WILFRED,187
819,1918,WILFRID,47
820,1918,WILHO,7
821,1918,WILLARD,25
822,1918,WILLIAM,2208
823,1918,WILLIE,15
824,1918,WILLIS,11
825,1918,WILMER,9
826,1918,WILMOT,8
827,1918,WILSON,13
828,1918,WINSTON,6
829,1918,WLFRED,5
830,1918,WLLIAM,7
831,1918,WOODROW,20
832,1919,AARON,8
833,1919,ABRAHAM,24
834,1919,ADELARD,13
835,1919,ADOLPH,6
836,1919,ADRIAN,6
837,1919,AIME,6
838,1919,ALAN,37
839,1919,ALBERT,468
840,1919,ALBERTO,6
841,1919,ALCIDE,8
842,1919,ALDO,6
843,1919,ALEC,5
844,1919,ALEX,24
845,1919,ALEXANDER,166
846,1919,ALFRED,213
847,1919,ALFREDO,7
848,1919,ALLAN,147
849,1919,ALLEN,62
850,1919,ALMER,7
851,1919,ALPHONSE,16
852,1919,ALVIN,76
853,1919,ALWYN,6
854,1919,AMBROSE,13
855,1919,AMOS,12
856,1919,ANDREW,95
857,1919,ANGELO,6
858,1919,ANGUS,46
859,1919,ANTHONY,38
860,1919,ANTONIO,21
861,1919,ARCHIBALD,39
862,1919,ARCHIE,37
863,1919,ARMAND,26
864,1919,ARNOLD,71
865,1919,ARTHUR,549
866,1919,ARVO,5
867,1919,AUBREY,9
868,1919,AUGUST,6
869,1919,AURELE,7
870,1919,AUSTIN,26
871,1919,BASIL,20
872,1919,BEN,6
873,1919,BENEDICT,9
874,1919,BENJAMIN,33
875,1919,BENNIE,8
876,1919,BERNARD,86
877,1919,BERT,22
878,1919,BERTRAM,25
879,1919,BEVERLEY,5
880,1919,BEVERLY,8
881,1919,BILLIE,6
882,1919,BILLY,5
883,1919,BLAKE,9
884,1919,BOYD,5
885,1919,BRUCE,128
886,1919,BRUNO,13
887,1919,BURTON,14
888,1919,BYRON,7
889,1919,CALVIN,16
890,1919,CAMERON,13
891,1919,CARL,95
892,1919,CARMAN,14
893,1919,CARMEN,9
