_id,YEAR,GEOGRAPHY,IMMIGRANT,TYPE OF WORK,WAGE RATE,EDUCATION,AGE GROUP,Both sexes,Men,Women
212,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage, University degree,25 +,23.6,25.5,21.3
213,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage, University degree,25 - 34,20,21.6,19
214,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage, University degree,25 - 54,23,24.9,21
215,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage, University degree,25 - 64,23.6,25.6,21.3
216,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage,  Bachelor's degree,15 +,21.1,23.1,19.8
217,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage,  Bachelor's degree,25 +,21.6,23.3,20
218,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage,  Bachelor's degree,25 - 34,19.2,20.4,18
219,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage,  Bachelor's degree,25 - 54,21.1,23,20
220,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage,  Bachelor's degree,25 - 64,21.6,23.4,20
221,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage,  Above bachelor's degree,15 +,28,30,25
222,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage,  Above bachelor's degree,25 +,28.2,30.2,25
223,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage,  Above bachelor's degree,25 - 34,23,24,21.1
224,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage,  Above bachelor's degree,25 - 54,26.9,28.9,24.6
225,2006,Canada, Total Landed Immigrants, Full-time,  Median hourly wage,  Above bachelor's degree,25 - 64,28.2,30.2,25
226,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage,"Total, all education levels",15 +,11,10,11.7
227,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage,"Total, all education levels",25 +,13,13,13
228,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage,"Total, all education levels",25 - 34,12,13.7,12
229,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage,"Total, all education levels",25 - 54,12.9,13,12.7
230,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage,"Total, all education levels",25 - 64,13,13,13
231,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, 0 - 8 years,15 +,10,10,10.9
232,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, 0 - 8 years,25 +,11,10.9,11
233,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, 0 - 8 years,25 - 34,0,0,0
234,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, 0 - 8 years,25 - 54,10.9,0,11
235,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, 0 - 8 years,25 - 64,11,10,11
236,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Some high school,15 +,8.5,8.3,8.5
237,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Some high school,25 +,11,12,11
238,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Some high school,25 - 34,0,0,0
239,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Some high school,25 - 54,10.6,10.6,10
240,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Some high school,25 - 64,11,12,11
241,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, High school graduate,15 +,10,10,10.9
242,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, High school graduate,25 +,12,12,12
243,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, High school graduate,25 - 34,11,0,10.7
244,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, High school graduate,25 - 54,11.8,12,11.8
245,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, High school graduate,25 - 64,12,12,12
246,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Some post-secondary,15 +,10,9.5,10
247,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Some post-secondary,25 +,11,10.5,11.5
248,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Some post-secondary,25 - 34,11,12,10.3
249,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Some post-secondary,25 - 54,11,11,11.5
250,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Some post-secondary,25 - 64,12,11,12
251,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Post-secondary certificate or diploma,15 +,12.9,12.5,13
252,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Post-secondary certificate or diploma,25 +,13.5,13,13.6
253,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Post-secondary certificate or diploma,25 - 34,12.5,12.9,12
254,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Post-secondary certificate or diploma,25 - 54,13,12.9,13.4
255,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, Post-secondary certificate or diploma,25 - 64,13.5,13,13.6
256,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, University degree,15 +,15.6,17,15
257,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, University degree,25 +,17,17.5,16.4
258,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, University degree,25 - 34,13.5,16.1,12.5
259,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, University degree,25 - 54,15,17,15
260,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage, University degree,25 - 64,17,17.5,16.3
261,2006,Canada, Total Landed Immigrants, Part-time,  Median hourly wage,  Bachelor's degree,15 +,14,13.5,14
